Product,Brewer Value,Brand Value,Package Value,Segment Value,AB Segment Value,AB Subsegment Value,AB Megasegment Value,Date,Display Count,Display Share,Distribution (%),Feature Count,Feature Share,Price per Unit,Price per Volume,Unit Sales,Volume Sales,Volume Share of Category, Average of Max TemperatureC , Average of Mean TemperatureC , Average of Min TemperatureC , Average of Dew PointC , Average of MeanDew PointC , Average of Min DewpointC , Average of Max Humidity , Average of  Mean Humidity , Average of  Min Humidity , Average of  Max Sea Level PressurehPa , Average of  Mean Sea Level PressurehPa , Average of  Min Sea Level PressurehPa , Average of  Max VisibilityKm , Average of  Mean VisibilityKm , Average of  Min VisibilitykM , Average of  Max Wind SpeedKm/h , Average of  Mean Wind SpeedKm/h , Average of  Max Gust SpeedKm/h , Average of Precipitationmm , Average of  CloudCover , Average of WindDirDegrees ," State GDP(Millions of dollars, seasonally adjusted at annual rates.) "," Alcohol Retail Trade employees (in 1000s, State) ","State Personal income (thousands of dollars, seasonally adjusted,quarterly)","Resident Population in city, Thousands of Persons, Annual, Not Seasonally Adjusted","Per Capita Personal Income in city, Dollars, Annual, Not Seasonally Adjusted",Occupancy (%) ,Labor Force in city,Employment in city,Unemployment in city,Unemp. Rate in city,"Consumer Price Index, Malt Beverages","Consumer Price Index, Wine",Producer Price Index by Industry
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,9/21/2014,39,0.156273334,0.700318033,27,0.071575034,12.73306075,25.4661215,5555,2777.395727,0.286544431,27.85714286,22.71428571,17.57142857,16.71428571,15.42857143,12.57142857,87.42857143,66.14285714,43.85714286,1013.571429,1012.285714,1010.428571,16,15.71428571,13.85714286,15,2.285714286,24.42857143,0,0.714285714,222.2857143,2380773,15.4,1954980268,10109.436,49400,0.766,5031200,4629400,401800,0.08,1.189,10.757,99.8
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,9/28/2014,31,0.123583033,0.702536451,438,1.157201518,12.84377744,25.68755488,4717,2358.742221,0.249884154,27,22.33333333,17.33333333,16,14,12.33333333,82,62.66666667,42.66666667,1012.333333,1011.333333,1009,16,16,14.66666667,14.66666667,3,25.33333333,0,1.333333333,203.6666667,2380773,15.4,1954980268,10109.436,49400,0.766,5031200,4629400,401800,0.08,1.189,10.757,99.8
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,10-05-2014,40,0.156690834,0.711923328,27,0.08020044,13.07886124,26.15772248,4634,2316.75813,0.231726605,30.42857143,24.42857143,18,17.85714286,14.42857143,8.571428571,87.42857143,60.28571429,32.42857143,1013.285714,1011.857143,1010.571429,16,13.71428571,8.285714286,12.85714286,1.857142857,19.42857143,0,1.428571429,206,2394469,15.4,1974525376,10109.436,49400,0.804,5033900,4635900,397900,0.079,1.336,12.283,102.7
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,10/19/2014,73,0.297581845,0.70003874,177,0.497125656,12.96601428,25.93202856,4539,2269.718663,0.253118697,27.57142857,22.14285714,16.42857143,16.42857143,14,10.85714286,87.85714286,64,40,1014.571429,1012.857143,1011.714286,16,15.14285714,9.857142857,12.85714286,1.714285714,20.57142857,0,1.571428571,242.2857143,2394469,15.4,1974525376,10109.436,49400,0.804,5033900,4635900,397900,0.079,1.336,12.283,102.7
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,10/26/2014,79,0.315122423,0.702013523,27,0.066063707,13.09205023,26.18410046,4271,2135.730434,0.231438031,25.83333333,21,15.83333333,15.16666667,13.33333333,10.83333333,84.83333333,64.5,43.66666667,1015.5,1013.833333,1012.333333,16,15.83333333,13,13.83333333,2,20.83333333,1.058333333,2.166666667,249.3333333,2394469,15.4,1974525376,10109.436,49400,0.804,5033900,4635900,397900,0.079,1.336,12.283,102.7
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,11-02-2014,61,0.242797865,0.692744675,41,0.087153511,10.87102585,21.74205169,8272,4136.1945,0.435390564,28,20.57142857,13.14285714,9,3.714285714,-2.571428571,65.71428571,41.14285714,16,1019.571429,1017.571429,1016.142857,16,16,15.71428571,12.28571429,1.857142857,18.71428571,0,0,216.7142857,2394469,15.5,1974525376,10109.436,49400,0.724,5034400,4641300,393100,0.078,1.235,10.694,101.8
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,12-07-2014,54,0.257572158,0.674883601,21,0.059462013,12.48660236,24.97320472,4343,2171.598773,0.304894631,21.85714286,17,12.14285714,12.85714286,10,7.285714286,88.57142857,66.14285714,43.28571429,1018.571429,1016.571429,1014.857143,16,13.42857143,10.14285714,15.28571429,2.714285714,24.14285714,5.841428571,2.714285714,191.5714286,2394469,15.8,1974525376,10109.436,49400,0.675,5034000,4646200,387800,0.077,1.349,14.42,101.5
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,12/21/2014,94,0.374758698,0.744972036,574,1.17805257,11.25510704,22.51021408,7132,3566.075909,0.389968766,21.14285714,15.14285714,9,8.571428571,3.571428571,-0.714285714,78,52.57142857,26.71428571,1019.857143,1017.142857,1014.142857,15.57142857,13.85714286,10.71428571,11.14285714,2.285714286,20.6,0,0.285714286,119.1428571,2394469,15.8,1974525376,10109.436,49400,0.675,5034000,4646200,387800,0.077,1.349,14.42,101.5
BRAND140 12-PACK 11.2-13 OZ GLASS,ABI,BRAND140,12-PACK 11.2-13 OZ GLASS,CRAFT/IMPORT,CORE,CORE IMPORT,CORE & VALUE,12/28/2014,79,0.327905109,0.722785631,582,1.505911381,11.27506935,22.5501387,8014,4006.9333,0.334988667,15.25,10.75,6,4.75,-0.75,-6.5,75,53,30.75,1020.5,1018,1015.75,16,15.5,13,16.5,3.5,24.5,1.2075,2.25,141.75,2394469,15.8,1974525376,10109.436,49400,0.675,5034000,4646200,387800,0.077,1.349,14.42,101.5
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,06-01-2014,63,0.253678346,0.091112862,24,0.06200621,14.99413595,19.99218126,743,557.2245208,0.053006948,25.14285714,20.71428571,15.42857143,13.71428571,12.71428571,10.85714286,86.14285714,67.28571429,47.57142857,1011.571429,1010.285714,1008.714286,16,14.28571429,9.142857143,14,2.714285714,24.33333333,0,1.428571429,261.2857143,2332968,15.2,1926214144,10109.436,49400,0.831,5017300,4604200,413100,0.082,1.342,12.082,100
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,06-08-2014,99,0.372531756,0.098154655,52,0.15645949,13.50041623,18.00055498,1373,1029.963534,0.100632463,23.71428571,20.14285714,16,14.42857143,13.57142857,12.85714286,86.57142857,71,54.85714286,1012.142857,1010.857143,1009.428571,16,13.57142857,9.428571429,15.85714286,2.857142857,24.28571429,0,4.142857143,263.4285714,2332968,15.2,1926214144,10109.436,49400,0.831,5017300,4604200,413100,0.082,1.342,12.082,100
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,6/15/2014,75,0.281723326,0.067209999,29,0.062402616,13.81339182,18.41785576,1825,1368.667616,0.119563386,25,20.42857143,15.71428571,14.42857143,13.14285714,11.57142857,86.14285714,67.14285714,47.14285714,1013,1012,1011.142857,16,15.28571429,12.71428571,13.28571429,3.142857143,24.33333333,0,1.428571429,191.8571429,2332968,15.2,1926214144,10109.436,49400,0.831,5017300,4604200,413100,0.082,1.342,12.082,100
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,6/22/2014,111,0.412005834,0.061100178,56,0.135987644,13.94051489,18.58735318,1441,1080.915232,0.103030595,25.28571429,21.42857143,17.42857143,16.42857143,15.42857143,14.42857143,87.42857143,72.42857143,56.57142857,1012.714286,1011.714286,1010.285714,16,14.42857143,11.28571429,14.57142857,3.428571429,25.28571429,0,3.428571429,243,2332968,15.2,1926214144,10109.436,49400,0.831,5017300,4604200,413100,0.082,1.342,12.082,100
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,6/29/2014,99,0.351980415,0.067498821,52,0.104099485,13.27107634,17.69476846,2404,1802.82274,0.161987064,25.5,22,18,17,16.5,16,87,74.5,61,1012.5,1011,1010,16,15,11,12,3,24,0,4.5,206.5,2332968,15.2,1926214144,10109.436,49400,0.831,5017300,4604200,413100,0.082,1.342,12.082,100
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,07-06-2014,95,0.283578401,0.080147368,23,0.047859162,13.31567391,17.75423188,4392,3293.643298,0.194861681,28.71428571,23.85714286,18.57142857,17.42857143,16.42857143,14.57142857,88.14285714,66.71428571,44.85714286,1014.714286,1013.285714,1011.857143,16,15.71428571,12.57142857,15,3.857142857,24.14285714,0,2,205.7142857,2380773,15.3,1954980268,10109.436,49400,0.87,5021600,4613100,408500,0.081,1.191,10.961,100.8
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,7/13/2014,66,0.237343361,0.07758865,26,0.072924439,13.53845482,18.05127309,2723,2042.345958,0.192785327,26.71428571,23,19.14285714,16.85714286,15.85714286,14.85714286,81.85714286,68.14285714,54,1015.857143,1014.714286,1013.142857,16,14.71428571,11,15.28571429,3.714285714,24.57142857,0,2.571428571,249.2857143,2380773,15.3,1954980268,10109.436,49400,0.87,5021600,4613100,408500,0.081,1.191,10.961,100.8
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,7/27/2014,29,0.105615826,0.06573003,24,0.067656485,15.37482696,20.49976928,1083,812.4000599,0.076524564,30.8,25.4,19.6,17.6,16.4,12,83,60.2,36.6,1015.6,1014,1012.4,16,15.8,13.4,14.2,3.4,23.6,0,0,248.4,2380773,15.3,1954980268,10109.436,49400,0.87,5021600,4613100,408500,0.081,1.191,10.961,100.8
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,08-03-2014,96,0.331930304,0.054736807,28,0.062329998,14.1621438,18.88285839,1334,1000.230472,0.09368076,28,23.42857143,18.42857143,17.42857143,16,14.57142857,85.71428571,67,48,1015.285714,1014.142857,1012.714286,16,14.71428571,10.28571429,15.42857143,3.285714286,24.28571429,0.072857143,3.142857143,251.2857143,2380773,15.3,1954980268,10109.436,49400,0.87,5026700,4621800,404900,0.081,1.345,12.402,101.5
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,08-10-2014,87,0.307399396,0.077665649,113,0.341698962,13.73626925,18.31502566,2590,1942.799069,0.187134024,29.42857143,24,18.28571429,17.14285714,16.14285714,14,88.71428571,66.57142857,44,1014.857143,1013.714286,1012.428571,16,14.42857143,10.71428571,15.57142857,3.571428571,23.71428571,0,1.285714286,261.8571429,2380773,15.3,1954980268,10109.436,49400,0.87,5026700,4621800,404900,0.081,1.345,12.402,101.5
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,8/17/2014,107,0.382047962,0.073637788,67,0.179331554,14.42849702,19.23799602,2420,1815.368884,0.17335692,28.85714286,24,19,17.14285714,15.85714286,14.57142857,81.57142857,64.85714286,47.42857143,1013.714286,1012.142857,1010.571429,16,15.71428571,14.14285714,14.28571429,3.857142857,23.57142857,0,1.857142857,251.8571429,2380773,15.3,1954980268,10109.436,49400,0.87,5026700,4621800,404900,0.081,1.345,12.402,101.5
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,8/24/2014,52,0.188900365,0.076203271,79,0.220219784,13.54685811,18.06247747,2549,1911.915957,0.185891266,30.57142857,24.85714286,18.57142857,16.57142857,15,11.71428571,81.14285714,59.71428571,37.71428571,1013.428571,1011.857143,1010.428571,16,15.57142857,13.42857143,14.42857143,2.857142857,23.71428571,0,0.428571429,256,2380773,15.3,1954980268,10109.436,49400,0.87,5026700,4621800,404900,0.081,1.345,12.402,101.5
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,8/31/2014,69,0.227922299,0.077564368,96,0.166894806,13.10002045,17.46669393,2718,2038.190571,0.148830635,31,26,21,19,18,17,84,66,48,1010,1009,1007,16,15,10,14,4,26,0,2,232,2380773,15.3,1954980268,10109.436,49400,0.87,5026700,4621800,404900,0.081,1.345,12.402,101.5
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,9/14/2014,56,0.213665109,0.080609687,88,0.189254083,13.39500544,17.86000726,3239,2428.965539,0.224289531,32.42857143,26.85714286,21.14285714,18,16.28571429,13.42857143,76.14285714,57.57142857,38.57142857,1010,1008.285714,1007,16,16,15.42857143,14.14285714,2.571428571,24,0,1.142857143,219.2857143,2380773,15.4,1954980268,10109.436,49400,0.766,5031200,4629400,401800,0.08,1.189,10.757,99.8
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,9/21/2014,88,0.35363155,0.081932802,115,0.30909357,13.33432645,17.77910193,2528,1896.255998,0.195637082,27.85714286,22.71428571,17.57142857,16.71428571,15.42857143,12.57142857,87.42857143,66.14285714,43.85714286,1013.571429,1012.285714,1010.428571,16,15.71428571,13.85714286,15,2.285714286,24.42857143,0,0.714285714,222.2857143,2380773,15.4,1954980268,10109.436,49400,0.766,5031200,4629400,401800,0.08,1.189,10.757,99.8
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,9/28/2014,36,0.14180179,0.079743673,50,0.133060523,13.88057695,18.50743594,1976,1481.808414,0.156982157,27,22.33333333,17.33333333,16,14,12.33333333,82,62.66666667,42.66666667,1012.333333,1011.333333,1009,16,16,14.66666667,14.66666667,3,25.33333333,0,1.333333333,203.6666667,2380773,15.4,1954980268,10109.436,49400,0.766,5031200,4629400,401800,0.08,1.189,10.757,99.8
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,10-05-2014,87,0.341723608,0.086889786,77,0.231991057,14.68550883,19.58067844,2429,1821.806535,0.182220594,30.42857143,24.42857143,18,17.85714286,14.42857143,8.571428571,87.42857143,60.28571429,32.42857143,1013.285714,1011.857143,1010.571429,16,13.71428571,8.285714286,12.85714286,1.857142857,19.42857143,0,1.428571429,206,2394469,15.4,1974525376,10109.436,49400,0.804,5033900,4635900,397900,0.079,1.336,12.283,102.7
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,10-12-2014,64,0.258694467,0.07663154,27,0.079497569,15.34058501,20.45411335,1174,880.5212048,0.092771379,25.71428571,21.85714286,17.42857143,16,14.85714286,13.42857143,85.28571429,67.71428571,49.85714286,1015,1013.428571,1012.142857,16,13.57142857,10,15,2,24.28571429,0,2.714285714,253.2857143,2394469,15.4,1974525376,10109.436,49400,0.804,5033900,4635900,397900,0.079,1.336,12.283,102.7
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,10/19/2014,47,0.192744634,0.08201357,54,0.150206315,14.52479206,19.36638941,1567,1175.32945,0.13107257,27.57142857,22.14285714,16.42857143,16.42857143,14,10.85714286,87.85714286,64,40,1014.571429,1012.857143,1011.714286,16,15.14285714,9.857142857,12.85714286,1.714285714,20.57142857,0,1.571428571,242.2857143,2394469,15.4,1974525376,10109.436,49400,0.804,5033900,4635900,397900,0.079,1.336,12.283,102.7
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,10/26/2014,50,0.198859635,0.07874402,115,0.28326617,14.91701484,19.88935312,1672,1254.282505,0.13592009,25.83333333,21,15.83333333,15.16666667,13.33333333,10.83333333,84.83333333,64.5,43.66666667,1015.5,1013.833333,1012.333333,16,15.83333333,13,13.83333333,2,20.83333333,1.058333333,2.166666667,249.3333333,2394469,15.4,1974525376,10109.436,49400,0.804,5033900,4635900,397900,0.079,1.336,12.283,102.7
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,11-02-2014,9,0.03646357,0.069874041,27,0.057373646,14.20505586,18.94007448,1584,1188.083014,0.125061849,28,20.57142857,13.14285714,9,3.714285714,-2.571428571,65.71428571,41.14285714,16,1019.571429,1017.571429,1016.142857,16,16,15.71428571,12.28571429,1.857142857,18.71428571,0,0,216.7142857,2394469,15.5,1974525376,10109.436,49400,0.724,5034400,4641300,393100,0.078,1.235,10.694,101.8
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,11/16/2014,88,0.431779415,0.078717968,27,0.069240683,15.26488681,20.35318242,1237,927.3870723,0.11362464,23.14285714,17.71428571,12,10.57142857,5,-1.142857143,74.85714286,51.57142857,27.85714286,1020.428571,1018.142857,1016.142857,16,15.71428571,13.71428571,13,1.714285714,20.85714286,0,0.571428571,163,2394469,15.5,1974525376,10109.436,49400,0.724,5034400,4641300,393100,0.078,1.235,10.694,101.8
BRAND261 18-PACK 11.2-13 OZ GLASS,ABI,BRAND261,18-PACK 11.2-13 OZ GLASS,PREMIUM,CORE,PREMIUM LIGHT,CORE & VALUE,11/23/2014,97,0.402502002,0.066594192,61,0.134047972,14.78033149,19.70710865,1287,965.0292349,0.100800612,27.42857143,19.85714286,12.28571429,9.142857143,0.857142857,-7,67.57142857,40.42857143,13,1021,1018.857143,1016.857143,16,15.28571429,13.57142857,11.85714286,2.142857143,19.14285714,0,0.571428571,174,2394469,15.5,1974525376,10109.436,49400,0.724,5034400,4641300,393100,0.078,1.235,10.694,101.8
